"","Brand","ItemDescription"
"707","Livu Alus","PET bottle"
"708","Cesu Premium","Can"
"709","Burn","Can"
"710","Zelta Cider","Can"
"711","Zelta Premium","Can"
"712","Heineken","Can"
"713","Somersby","Can"
"714","Tuborg","Can"
"715","Sherwood","Can"
"716","Cesu Light","Can"
"717","Pepsi","Can"
"718","Energy Drink","Can"
"719","Dzons","Can"
"720","Bocmanis","Can"
"721","Fizz","Can"
"722","7Up","Can"
"723","Zlatapran","Can"
"724","Supermaki","Can"
"725","Enjoy","Can"
"726","Radler","Can"
"727","Unknown","Cans"
"728","Carlsberg","Can"
"729","Cesu Bruzu Gaisais","Can"
"730","Lacplesis","Can"
"731","Aldaris","Can"
"732","Fanta","Can"
"733","Coca Cola","Can"
"734","Cesu Dzons","Can"
"735","Grimberger","Can"
"736","Livu Sencu","Can"
"737","Apinitis","Can"
"738","Dinamit Free","Can"
"739","Staburags","Can"
"740","Mitava","Can"
"741","Red Bull","Can"
"742","Monster Energy","Can"
"743","Vanilla Light","Can"
"744","Bacardi","Glass bottle"
"745","Bralis","Glass bottle"
"746","Cesu Alus","Glass bottle"
"747","Tervete","Glass bottle"
"748","Aldaris","Glass bottle"
"749","Latvijas Balzams","Glass bottle"
"750","Maxima","Glass bottle"
"751","Heineken","Glass bottle"
"752","Bisca","Glass bottle"
"753","Carlsberg","Glass bottle"
"754","Bohemia Reget","Glass bottle"
"755","Unknown","Glass bottle"
"756","Lacplesis","Glass bottle"
"757","Katjuska","Glass bottle"
"758","Smirnoff","Glass bottle"
"759","Piati Ozor","Glass bottle"
"760","Cornovo","Glass bottle"
"761","Laplandia","Glass bottle"
"762","Johan","Glass bottle"
"763","Freitag","Glass bottle"
"764","Smarij","Glass bottle"
"765","Melnik","Glass bottle"
"766","Fruitland","Glass bottle"
"767","Bruveris","Glass bottle"
"768","Lielvardes","Glass bottle"
"769","Alita","Glass bottle"
"770","Cortes","Glass bottle"
"771","Jp Chanet","Glass bottle"
"772","Piebalga","Glass bottle"
"773","Unknown","Glass jar"
"774","Zhiguli","Glass bottle"
"775","Glen Russel","Glass bottle"
"776","Ravasi","Glass bottle"
"777","Unknown","Cigarette Butts"
"778","Unknown","Cotton bud sticks"
"779","Unknown","wet wipes"
"780","Unknown","balloons"
"781","Unknown","Women higiene products (tampons, pads)"
"782","Unknown","Plastic wrappers"
"783","Unknown","Plastic Bags"
"784","Unknown","Single use cups"
"785","Unknown","Single use cutlery"
"786","Unknown","Plastic plates"
"787","Unknown","plastic bottle caps"
"788","Unknown","Condoms"
"789","Unknown","metal bottle caps"
"790","Unknown","Various pieces of plastic"
"791","Unknown","Textiles"
"792","Unknown","Plastic clothing lines (used to connect tag to piece of clothing)"
"793","Unknown","Plastic cords"
"794","Unknown","Plastic toys"
"795","Unknown","Plastic straw"
"796","Orbit","Plastic wrappers"
"797","Oreo","Cookie packaging"
"798","Premier","Cigarette Packaging"
"799","Kent","Cigarette Packaging"
"800","Adazu","Chips bag"
"801","Itex","Nuts packaging"
"802","Pirate","Chips bag"
"803","Winstone","Cigarette Packaging"
"804","Minsk","Cigarette Packaging"
"805","Camel","Cigarette Packaging"
"806","Estrella","Chips bag"
"807","Forevers","Meat packaging"
"808","Rigas Galas Kombinats","Meat packaging"
"809","Marienbade","Meat packaging"
"810","Durex","Plastic wrappers"
"811","Snickers","Plastic wrappers"
"812","Tio","Icecream packaging"
"813","Lays","Chips bag"
"814","Flint","Snacks packaging"
"815","Karums","Snacks packaging"
"816","Hit","Snacks packaging"
"817","Maretti","Snacks packaging"
"818","Lucky Strike","Cigarette Packaging"
"819","Prince","Cigarette Packaging"
"820","Haribo","Plastic wrappers"
"821","Panda","Toilet paper packaging"
"822","Tupla","Plastic wrappers"
"823","Staburadze","Plastic wrappers"
"824","Kinder","Plastic wrappers"
"825","Nakotne","Meat packaging"
"826","Tik Tak","Candy packafing"
"827","Ventspils Gala","Meat packaging"
"828","Magnum","Icecream packaging"
"829","Fitness","Plastic wrappers"
"830","Unknown","Cigarette Packaging"
